product_id,product_name,category,sub_category,unit_cost,selling_price
20108,Phone Case Max,Electronics,Phone Case,3869.98,4452.38
20109,Body Lotion Max,Beauty & Personal Care,Body Lotion,998.34,1184.17
20110,Smart Watch X,Electronics,Smart Watch,1141.27,1549.55
20111,Body Lotion Max,Beauty & Personal Care,Body Lotion,3786.41,4664.78
20112,Mouse Plus,Electronics,Mouse,5888.08,7490.05
20113,Headphones Max,Electronics,Headphones,6694.93,9797.2
20114,Webcam X,Electronics,Webcam,4438.56,5814.59
20115,Headphones Lite,Electronics,Headphones,3876.78,5487.22
20116,Water Bottle Max,Home & Kitchen,Water Bottle,3166.6,4238.73
20117,Biography X,Books,Biography,1664.65,2013.48
20118,Electric Kettle Lite,Home & Kitchen,Electric Kettle,1300.51,1507.59
20119,Face Wash Max,Beauty & Personal Care,Face Wash,6366.39,7927.45
20120,Headphones Max,Electronics,Headphones,3800.3,4372.55
20121,Sunglasses X,Fashion,Sunglasses,6354.01,9199.74
20122,Bluetooth Speaker Classic,Electronics,Bluetooth Speaker,5677.05,8752.48
20123,Power Bank Classic,Electronics,Power Bank,1672.08,2173.81
20124,Headphones Pro,Electronics,Headphones,4155.91,5507.28
20125,Backpack Classic,Fashion,Backpack,3635.53,5644.46
20126,USB Cable Plus,Electronics,USB Cable,3477.41,4304.98
20127,Science Book Pro,Books,Science Book,4409.18,5216.74
20128,Backpack Classic,Fashion,Backpack,7859.34,10889.84
20129,Gym Gloves Lite,Sports,Gym Gloves,6531.27,9551.86
20130,Biography Prime,Books,Biography,7244.14,10415.75
20131,Sunscreen X,Beauty & Personal Care,Sunscreen,382.67,573.37
20132,Management Book Classic,Books,Management Book,1251.64,1439.48
20133,USB Cable Lite,Electronics,USB Cable,815.39,1098.29
20134,Cricket Bat Prime,Sports,Cricket Bat,2216.36,2762.57
20135,Air Fryer Pro,Home & Kitchen,Air Fryer,3618.86,5509.11
20136,Jacket X,Fashion,Jacket,5190.12,8213.61
20137,Body Lotion Classic,Beauty & Personal Care,Body Lotion,4081.53,5179.9
20138,Fiction Novel Pro,Books,Fiction Novel,7239.99,8474.16
20139,Exam Guide Classic,Books,Exam Guide,7527.87,9442.33
20140,Keyboard Pro,Electronics,Keyboard,1433.64,1684.71
20141,Toaster Classic,Home & Kitchen,Toaster,6845.37,8836.58
20142,Tennis Balls Prime,Sports,Tennis Balls,3931.52,5524.75
20143,Sunscreen Lite,Beauty & Personal Care,Sunscreen,3708.64,6067.52
20144,Mouse Plus,Electronics,Mouse,6311.77,8405.17
20145,Shirt Prime,Fashion,Shirt,881.15,1089.65
20146,Skipping Rope Lite,Sports,Skipping Rope,7077.57,8552.57
20147,Perfume X,Beauty & Personal Care,Perfume,5416.28,6562.97
20148,Toaster Classic,Home & Kitchen,Toaster,7020.8,8579.96
20149,Makeup Kit Plus,Beauty & Personal Care,Makeup Kit,7956.65,12125.95
20150,Sunglasses Prime,Fashion,Sunglasses,4216.33,4858.67
20151,Biography Plus,Books,Biography,882.11,1454.27
20152,Dress X,Fashion,Dress,1457.21,2035.76
20153,Vacuum Cleaner X,Home & Kitchen,Vacuum Cleaner,2690.4,3789.33
20154,Skipping Rope Plus,Sports,Skipping Rope,962.89,1260.91
20155,Wireless Earbuds X,Electronics,Wireless Earbuds,6550.43,9732.86
20156,Self Help Book X,Books,Self Help Book,2480.41,3397.84
20157,Hair Dryer Classic,Beauty & Personal Care,Hair Dryer,7810.71,10110.2
20158,Science Book Lite,Books,Science Book,5665.34,7141.29
20159,Electric Kettle Max,Home & Kitchen,Electric Kettle,1511.43,2434.3
20160,Lipstick Pro,Beauty & Personal Care,Lipstick,3886.93,4952.82
20161,Gym Gloves Plus,Sports,Gym Gloves,3815.04,5155.22
20162,Face Serum Pro,Beauty & Personal Care,Face Serum,4016.22,5243.9
20163,Mouse Plus,Electronics,Mouse,4355.18,5076.72
20164,Cookware Set Plus,Home & Kitchen,Cookware Set,394.71,480.97
20165,Backpack Lite,Fashion,Backpack,5537.46,6758.12
20166,Sunglasses Prime,Fashion,Sunglasses,3974.46,5912.54
20167,Body Lotion Prime,Beauty & Personal Care,Body Lotion,6359.08,8492.49
20168,Toaster Plus,Home & Kitchen,Toaster,6550.49,10051.35
20169,Dumbbells Plus,Sports,Dumbbells,1959.7,2931.21
20170,Dress Lite,Fashion,Dress,530.12,647.69
20171,USB Cable X,Electronics,USB Cable,5670.39,8042.57
20172,USB Cable Prime,Electronics,USB Cable,7825.44,11845.69
20173,Moisturizer Max,Beauty & Personal Care,Moisturizer,3656.27,5321.75
20174,Backpack Pro,Fashion,Backpack,2187.96,3146.31
20175,Hoodie Plus,Fashion,Hoodie,1379.87,2086.35
20176,Cycling Helmet Lite,Sports,Cycling Helmet,2406.45,2767.64
20177,Dinner Set Plus,Home & Kitchen,Dinner Set,2724.17,4107.1
20178,Management Book Prime,Books,Management Book,3477.42,4397.22
20179,Fiction Novel Lite,Books,Fiction Novel,5294.95,7535.2
20180,Keyboard Pro,Electronics,Keyboard,2294.33,2864.29
20181,Running Shoes Classic,Sports,Running Shoes,550.17,860.78
20182,Hair Dryer Prime,Beauty & Personal Care,Hair Dryer,3080.24,4234.4
20183,Hoodie X,Fashion,Hoodie,6866.69,10030.58
20184,Hoodie Classic,Fashion,Hoodie,4062.06,6259.08
20185,Yoga Mat Lite,Sports,Yoga Mat,7723.55,12315.33
20186,Finance Book Plus,Books,Finance Book,4103.43,6187.94
20187,Hoodie X,Fashion,Hoodie,2315.81,2776.3
20188,Headphones Prime,Electronics,Headphones,1667.51,2622.83
20189,Sunglasses Pro,Fashion,Sunglasses,5602.02,8110.86
20190,Keyboard Prime,Electronics,Keyboard,4360.59,6292.37
20191,Backpack Max,Fashion,Backpack,4891.39,7866.87
20192,Badminton Racket X,Sports,Badminton Racket,6077.75,7608.62
20193,Air Fryer Plus,Home & Kitchen,Air Fryer,5848.34,7292.77
20194,Webcam Classic,Electronics,Webcam,490.4,682.63
20195,Lipstick Lite,Beauty & Personal Care,Lipstick,6450.19,9791.11
20196,Toaster Classic,Home & Kitchen,Toaster,4331.72,5878.31
20197,Cookware Set Prime,Home & Kitchen,Cookware Set,3224.91,4695.35
20198,Shampoo X,Beauty & Personal Care,Shampoo,4369.53,5941.85
20199,Self Help Book Max,Books,Self Help Book,4957.74,7156.52
20200,Makeup Kit Plus,Beauty & Personal Care,Makeup Kit,1323.62,2059.29
20201,Backpack Lite,Fashion,Backpack,3426.71,4165.69
20202,Sunglasses Plus,Fashion,Sunglasses,2784.35,4144.65
20203,Wireless Earbuds Plus,Electronics,Wireless Earbuds,2900.71,4459.36
20204,Running Shoes Max,Sports,Running Shoes,866.98,1176.47
20205,Handbag X,Fashion,Handbag,1404.77,1814.0
20206,Management Book Classic,Books,Management Book,1420.38,1601.02
20207,Exam Guide Plus,Books,Exam Guide,3079.81,4750.5
20208,Coffee Maker Prime,Home & Kitchen,Coffee Maker,7171.76,9278.88
20209,Exam Guide Prime,Books,Exam Guide,1767.31,2314.07
20210,Data Analytics Book Plus,Books,Data Analytics Book,3417.11,4435.69
20211,Dress Plus,Fashion,Dress,2596.13,3593.91
20212,Dinner Set Lite,Home & Kitchen,Dinner Set,6330.96,9447.85
20213,Shampoo Plus,Beauty & Personal Care,Shampoo,543.49,831.04
20214,Coffee Maker Prime,Home & Kitchen,Coffee Maker,1692.87,2248.24
20215,Handbag Plus,Fashion,Handbag,1803.54,2653.81
20216,Keyboard X,Electronics,Keyboard,7944.76,11932.73
20217,Jacket Prime,Fashion,Jacket,4630.58,5914.95
20218,Data Analytics Book Plus,Books,Data Analytics Book,1240.82,1453.26
20219,Water Bottle Max,Home & Kitchen,Water Bottle,2286.76,3645.49
20220,Moisturizer Max,Beauty & Personal Care,Moisturizer,1467.4,2170.1
20221,Air Fryer Prime,Home & Kitchen,Air Fryer,1128.15,1651.05
20222,Sunscreen Plus,Beauty & Personal Care,Sunscreen,6407.88,7376.87
20223,Lipstick Max,Beauty & Personal Care,Lipstick,4041.66,6278.61
20224,Keyboard X,Electronics,Keyboard,5105.0,7249.14
20225,Backpack Lite,Fashion,Backpack,2750.32,4316.29
20226,Cycling Helmet Max,Sports,Cycling Helmet,4496.51,7358.62
20227,Toaster Prime,Home & Kitchen,Toaster,2171.92,3534.29
20228,Shampoo Max,Beauty & Personal Care,Shampoo,2568.08,4041.46
20229,Face Wash Classic,Beauty & Personal Care,Face Wash,5270.07,5933.06
20230,Vacuum Cleaner X,Home & Kitchen,Vacuum Cleaner,1330.25,2114.35
20231,Programming Book Max,Books,Programming Book,4995.19,5793.34
20232,Jacket Lite,Fashion,Jacket,6840.04,10746.61
20233,Vacuum Cleaner Classic,Home & Kitchen,Vacuum Cleaner,1095.32,1389.4
20234,Phone Case Prime,Electronics,Phone Case,7195.07,10384.91
20235,Jeans Prime,Fashion,Jeans,773.65,882.1
20236,Shampoo Plus,Beauty & Personal Care,Shampoo,2888.94,4416.4
20237,Sunglasses X,Fashion,Sunglasses,4942.5,5828.22
20238,Makeup Kit Max,Beauty & Personal Care,Makeup Kit,4541.41,6074.88
20239,Yoga Mat Plus,Sports,Yoga Mat,906.67,1408.28
20240,Sneakers X,Fashion,Sneakers,6421.47,9558.58
20241,Hoodie Prime,Fashion,Hoodie,7789.25,8748.91
20242,Exam Guide Classic,Books,Exam Guide,1572.64,2097.28
20243,Science Book Max,Books,Science Book,7176.78,8197.47
20244,Storage Box Prime,Home & Kitchen,Storage Box,4520.95,6677.24
20245,Face Wash Lite,Beauty & Personal Care,Face Wash,7497.08,12246.8
20246,Electric Kettle X,Home & Kitchen,Electric Kettle,1532.27,2248.28
20247,Headphones Prime,Electronics,Headphones,6367.37,7888.65
20248,Moisturizer Prime,Beauty & Personal Care,Moisturizer,619.29,810.2
20249,Backpack Lite,Fashion,Backpack,7083.09,11599.44
20250,Headphones Plus,Electronics,Headphones,5442.15,6741.45
20251,Hair Dryer Prime,Beauty & Personal Care,Hair Dryer,3056.5,4332.93
20252,Business Book Plus,Books,Business Book,1645.16,2191.75
20253,Data Analytics Book Classic,Books,Data Analytics Book,6559.78,10018.14
20254,Jacket Classic,Fashion,Jacket,4885.44,7717.61
20255,T-Shirt Pro,Fashion,T-Shirt,2979.26,3874.96
20256,Webcam Pro,Electronics,Webcam,3634.11,5342.18
20257,Football Classic,Sports,Football,6638.36,9366.69
20258,Business Book Max,Books,Business Book,2810.58,3562.62
20259,Dumbbells Plus,Sports,Dumbbells,853.62,1079.09
20260,Shampoo Lite,Beauty & Personal Care,Shampoo,7303.57,10264.98
20261,Keyboard Prime,Electronics,Keyboard,3190.65,3833.95
20262,Toaster Prime,Home & Kitchen,Toaster,2884.84,4470.72
20263,Vacuum Cleaner Classic,Home & Kitchen,Vacuum Cleaner,1754.54,2029.25
20264,Cycling Helmet Max,Sports,Cycling Helmet,7194.77,8418.78
20265,Bluetooth Speaker Lite,Electronics,Bluetooth Speaker,1857.42,2417.21
20266,Jacket Pro,Fashion,Jacket,5147.88,6087.82
20267,Phone Case Lite,Electronics,Phone Case,7064.01,9692.68
20268,Face Wash Classic,Beauty & Personal Care,Face Wash,424.07,564.79
20269,Cycling Helmet Plus,Sports,Cycling Helmet,6656.01,10001.05
20270,Makeup Kit Classic,Beauty & Personal Care,Makeup Kit,3373.21,5481.78
20271,Badminton Racket Prime,Sports,Badminton Racket,5315.1,8075.69
20272,Jacket Prime,Fashion,Jacket,3073.38,3734.49
20273,Headphones X,Electronics,Headphones,5609.8,9064.46
20274,Mixer Grinder Max,Home & Kitchen,Mixer Grinder,2146.22,2849.82
20275,Business Book Max,Books,Business Book,322.15,441.77
20276,Mixer Grinder Max,Home & Kitchen,Mixer Grinder,7590.13,10196.85
20277,Keyboard X,Electronics,Keyboard,278.49,353.32
20278,Cookware Set X,Home & Kitchen,Cookware Set,6619.18,10553.45
20279,Electric Kettle Plus,Home & Kitchen,Electric Kettle,1477.73,1915.27
20280,Shirt Max,Fashion,Shirt,3228.93,4606.57
20281,Dress Classic,Fashion,Dress,6606.57,8239.83
20282,Exam Guide X,Books,Exam Guide,1766.57,2725.13
20283,Hair Dryer Classic,Beauty & Personal Care,Hair Dryer,6945.8,10629.33
20284,Webcam Pro,Electronics,Webcam,4057.41,5181.5
20285,Hair Dryer Max,Beauty & Personal Care,Hair Dryer,3024.3,4479.66
20286,Dumbbells X,Sports,Dumbbells,5350.14,7988.04
20287,Cycling Helmet X,Sports,Cycling Helmet,2829.91,4013.18
20288,Handbag Plus,Fashion,Handbag,2876.21,4136.9
20289,Cookware Set Classic,Home & Kitchen,Cookware Set,5908.18,8415.97
20290,Dumbbells Plus,Sports,Dumbbells,2582.18,3004.08
20291,Perfume Plus,Beauty & Personal Care,Perfume,1726.07,2546.37
20292,Shirt Classic,Fashion,Shirt,6490.02,8884.71
20293,Phone Case Pro,Electronics,Phone Case,6472.16,8752.84
20294,Body Lotion Classic,Beauty & Personal Care,Body Lotion,4056.05,6391.52
20295,Power Bank Pro,Electronics,Power Bank,4284.25,4851.1
20296,Headphones Plus,Electronics,Headphones,5614.2,7035.7
20297,Dinner Set Pro,Home & Kitchen,Dinner Set,4147.8,4912.42
20298,Mixer Grinder Max,Home & Kitchen,Mixer Grinder,3423.76,3898.74
20299,Backpack Pro,Fashion,Backpack,7959.92,10078.12
20300,Mixer Grinder Pro,Home & Kitchen,Mixer Grinder,1308.98,2151.82
20301,USB Cable X,Electronics,USB Cable,4802.91,6067.14
20302,Power Bank X,Electronics,Power Bank,7104.02,10455.44
20303,Keyboard Prime,Electronics,Keyboard,5544.64,6557.64
20304,Sneakers Plus,Fashion,Sneakers,7065.25,10166.75
20305,Bluetooth Speaker Classic,Electronics,Bluetooth Speaker,2790.23,4580.93
20306,Vacuum Cleaner Pro,Home & Kitchen,Vacuum Cleaner,2285.14,2912.81
20307,Shirt Max,Fashion,Shirt,6832.49,10723.46
20308,Cookware Set X,Home & Kitchen,Cookware Set,3243.8,5348.09
20309,Vacuum Cleaner Classic,Home & Kitchen,Vacuum Cleaner,5721.01,8192.11
20310,Yoga Mat Max,Sports,Yoga Mat,1309.83,1681.8
20311,Handbag Pro,Fashion,Handbag,6083.33,8984.91
20312,Cycling Helmet Classic,Sports,Cycling Helmet,4459.51,6991.48
20313,Jacket Prime,Fashion,Jacket,2258.6,2734.75
20314,Biography Max,Books,Biography,4031.86,5482.66
20315,Dinner Set Lite,Home & Kitchen,Dinner Set,5621.01,7246.43
20316,Jeans Max,Fashion,Jeans,243.31,309.05
20317,Sneakers Max,Fashion,Sneakers,5154.12,8124.11
20318,Finance Book Pro,Books,Finance Book,4401.49,5913.3
20319,Dinner Set Classic,Home & Kitchen,Dinner Set,1879.25,2442.48
20320,Cycling Helmet Pro,Sports,Cycling Helmet,6060.9,8726.85
20321,Sunglasses Pro,Fashion,Sunglasses,2532.17,3130.48
20322,Body Lotion Lite,Beauty & Personal Care,Body Lotion,2323.36,2885.25
20323,Dumbbells Prime,Sports,Dumbbells,3849.06,5372.34
20324,Programming Book Max,Books,Programming Book,5457.77,7296.57
20325,Shampoo Classic,Beauty & Personal Care,Shampoo,7441.44,9497.81
20326,Coffee Maker Prime,Home & Kitchen,Coffee Maker,1259.65,1446.83
20327,Cookware Set Plus,Home & Kitchen,Cookware Set,3262.27,4554.16
20328,Cookware Set X,Home & Kitchen,Cookware Set,675.87,1049.49
20329,Smart Watch Prime,Electronics,Smart Watch,6104.62,9591.76
20330,Power Bank Pro,Electronics,Power Bank,3664.7,4561.76
20331,Sneakers Pro,Fashion,Sneakers,5699.39,8194.64
20332,Cricket Bat Pro,Sports,Cricket Bat,2679.23,4216.08
20333,Mouse Pro,Electronics,Mouse,6777.89,9059.5
20334,Shirt X,Fashion,Shirt,4348.4,7018.46
20335,Coffee Maker Plus,Home & Kitchen,Coffee Maker,7557.32,12080.97
20336,Running Shoes Lite,Sports,Running Shoes,768.69,945.73
20337,Phone Case Plus,Electronics,Phone Case,4187.07,5264.2
20338,Backpack X,Fashion,Backpack,6166.67,7496.42
20339,Exam Guide Classic,Books,Exam Guide,4861.2,5949.67
20340,Toaster Lite,Home & Kitchen,Toaster,332.07,531.7
20341,Face Wash Lite,Beauty & Personal Care,Face Wash,7782.86,12557.67
20342,Football Classic,Sports,Football,2491.37,2858.86
20343,Keyboard Max,Electronics,Keyboard,2106.83,3022.48
20344,Fiction Novel Pro,Books,Fiction Novel,3962.43,5622.86
20345,Yoga Mat X,Sports,Yoga Mat,4405.94,5846.64
20346,Bluetooth Speaker Classic,Electronics,Bluetooth Speaker,6165.36,8969.36
20347,Vacuum Cleaner Plus,Home & Kitchen,Vacuum Cleaner,3237.2,5251.08
20348,Shirt Plus,Fashion,Shirt,3603.69,4361.31
20349,Cycling Helmet Max,Sports,Cycling Helmet,4349.44,5148.94
20350,Smart Watch Classic,Electronics,Smart Watch,3245.94,3692.9
20351,Perfume X,Beauty & Personal Care,Perfume,7329.2,9622.01
20352,Mixer Grinder Max,Home & Kitchen,Mixer Grinder,6832.33,8874.81
20353,Badminton Racket Max,Sports,Badminton Racket,3721.54,5017.88
20354,Body Lotion Max,Beauty & Personal Care,Body Lotion,151.53,210.13
20355,Backpack Lite,Fashion,Backpack,7222.34,10989.85
20356,Hair Dryer Lite,Beauty & Personal Care,Hair Dryer,1126.04,1495.18
20357,Gym Gloves Pro,Sports,Gym Gloves,2069.42,2680.36
20358,Dinner Set X,Home & Kitchen,Dinner Set,1346.04,2097.46
20359,Hair Dryer Plus,Beauty & Personal Care,Hair Dryer,1561.55,2452.25
20360,USB Cable Plus,Electronics,USB Cable,6452.59,8022.93
20361,Body Lotion Pro,Beauty & Personal Care,Body Lotion,4699.09,6046.68
20362,Makeup Kit Plus,Beauty & Personal Care,Makeup Kit,7655.35,11921.77
20363,Sneakers Max,Fashion,Sneakers,1966.91,2285.72
20364,Tennis Balls Pro,Sports,Tennis Balls,3962.23,5121.97
20365,T-Shirt Pro,Fashion,T-Shirt,7822.81,10620.45
20366,Finance Book Classic,Books,Finance Book,6637.58,8092.19
20367,Bluetooth Speaker Lite,Electronics,Bluetooth Speaker,5869.63,7133.68
20368,USB Cable X,Electronics,USB Cable,1633.46,2197.29
20369,Football X,Sports,Football,6189.83,9407.9
20370,Cycling Helmet Lite,Sports,Cycling Helmet,2878.39,4505.61
20371,Jacket Max,Fashion,Jacket,4314.71,7071.79
20372,Management Book X,Books,Management Book,4931.92,5717.14
20373,Moisturizer Plus,Beauty & Personal Care,Moisturizer,4933.51,6092.1
20374,Data Analytics Book Plus,Books,Data Analytics Book,5853.21,8902.81
20375,Jacket X,Fashion,Jacket,5344.36,7516.93
20376,Webcam Prime,Electronics,Webcam,686.71,888.38
20377,Backpack Prime,Fashion,Backpack,3740.17,4596.53
20378,Exam Guide Classic,Books,Exam Guide,5362.57,6803.24
20379,Dinner Set X,Home & Kitchen,Dinner Set,2473.54,3333.15
20380,Self Help Book Pro,Books,Self Help Book,2607.49,3165.21
20381,Football Max,Sports,Football,1127.86,1839.58
20382,Hoodie Pro,Fashion,Hoodie,3436.13,4044.4
20383,Shirt Lite,Fashion,Shirt,7896.62,12969.06
20384,Handbag Max,Fashion,Handbag,2389.76,3742.85
20385,Moisturizer Max,Beauty & Personal Care,Moisturizer,4321.78,5809.64
20386,Keyboard Plus,Electronics,Keyboard,5984.41,9049.04
20387,Programming Book Max,Books,Programming Book,255.95,377.76
20388,Backpack Classic,Fashion,Backpack,7218.45,8900.65
20389,Fiction Novel X,Books,Fiction Novel,3184.42,4138.81
20390,Dress Pro,Fashion,Dress,6972.56,9705.49
20391,Sunglasses Plus,Fashion,Sunglasses,455.74,664.5
20392,Jacket Prime,Fashion,Jacket,1293.46,1820.85
20393,Cricket Bat Plus,Sports,Cricket Bat,2681.86,3675.98
20394,Electric Kettle Classic,Home & Kitchen,Electric Kettle,2861.87,3877.46
20395,Self Help Book Classic,Books,Self Help Book,6805.18,9418.91
20396,Hoodie Classic,Fashion,Hoodie,237.93,321.25
20397,Exam Guide Classic,Books,Exam Guide,5182.73,7291.61
20398,Yoga Mat Prime,Sports,Yoga Mat,1180.8,1878.22
20399,Sunscreen Pro,Beauty & Personal Care,Sunscreen,6612.24,9623.45
20400,Backpack Classic,Fashion,Backpack,6261.8,9411.42
20401,Jeans Plus,Fashion,Jeans,4074.38,5853.52
